text,label
خطرة الفيل كان داير حفلة دعا كل الحيونات والنملة ايضا .   كل المدعوين دخلو لعندو غير النملة كي سقساها اي عندما سالها لماذا لم تدخلي .   قاتلو : كنت ندق بصح حتى واحد ما فتحلي الباب .   قالها الفيل : كنت تدخلي من تحت الباب .   قاتلو : حبيتني نخسر لا كوب نتاعي ؟   ( لا كوب اللي دارتها عند الحلاقة ) اي مشطة الشعر .,not_joke
سألوا واحد بخيل: آش تعمل لو الدنيا بردت؟ قال: نقعد جنب الشوفاج، قالوا: ولو الدنيا بردت أكثر؟ قال: نقرب من الشوفاج، قالوا: ولو بردت أكثر؟ قال: نلصق في الشوفاج، قالوا: باهي، ولو بردت أكثر ونزل ثلج؟ قال: وقتها أنشعل الشوفاج وأمري لله.,joke
محشش قال لخويه: إنت وين مولود قال: بالمستشفى قال له: ليه كنت مريض.,joke
مرة واحد ودرت راجلها وراحت تبلغ الشرطة وجابت وليدها معاها الشرطي الها كيفاش داير راجلك قالتلة طويل وشعرو رودي وأشقر قالها وليدها ماما هذا مش مواصفات بابا راحت قالتله اسكت راح يجيبولنا واحد خير منو.,joke
فيه حقير ابوه طرده من البيت كتب على طوفة البيت حركة طالبان,joke
قالك مرة وحد الراجل متزوج زوج نسا وحدة من ولاية ووحدة من ولاية وهوما ماشيين طريق طاحتلو السيارة اونبان. نزلت الاولى وقالتلو شوف بالاك لابوجي بالاك الموتور بلاكبالاك..بالاكقالت الثانية كيفاه هذي تفهم خيرمني زعما تفهم في كلش راحت للراجل وقالتو ..يا راجل شوف شوف بالاك نسيت البرمي علابيها طاحة اومبان,joke
هههه نكت متزوجين,not_joke
مرة واحد حب يمشي بس يمشي ما حبوش.,joke
واحد مبوق جالس ف القسم، كل شوية كيضحك ف التالي ضحك واحد الضحكة بالجهد قال ليه المعلم: نتا مالك واش تسطيتي؟ قال ليه المبوق: راه كنت كنعاود لراسي النكت، واخر وحدة أول مرة نسمعها.,joke
ديك قال لدجاجه “يا ضعيف ة يأخذون بيضك وأنت ساكت ة ” قالت له “على الأقل أحسن من اللي يأذن ولا يصلي“.,joke
قرد يتبع في طفلة معجب بيها علاش؟؟؟ اسمها موزة.,joke
وحده غبيه صقعانه قربت من النار باش تتدفأ .. بعدها قالت : الله لايحرمنا منها دنيا.. وآخرة,not_joke
واحد شمايتي حكمين عليه بالإعدام نهار التنفيذ جابو معاه واحد آخر باش ينفذوا عليه حكم الإعدام هوّ لآخر سألوهم قالوا للأوّل أش تحب قبل التنفيذ قالهم نحب نشوف أمي قالوا للشمايتي وأنت قالهم ما تجيبولوش أمّو.,joke
حقير حج وما رجم الشيطان ليش ؟ مايبي يخرب العلاقة,joke
وحدة حمصية قالها أبوها إجاكي أخ صغير قالتو بذمتك ؟ لا تقول لأمي خليها مفاجئة,joke
محشش مسكوه شوية ناس وسألوه:انت سني ولا شيعي؟ قال ما أدري طلعوا له صورة الأئمة ال12 وقالوا له من ذولا؟ قال المحشش: المنتخب على أيام هارون الرشيد.,joke
سولوا واحد الفار: علاش عزيزين عليك البنات؟ ڭال ليهم: حتى واحد ما كيدير ليا اعتبار من غيرهم. غير كيشوفوني كيغوتوا، حسيت براسي بحال مهند,joke
مزطول راح للدكتور يشكي إنه كل ما يرقد يحلم بالقطط يلعبوا الكرة، قاله الدكتور: مترقدش يومين، قال له المزطول: ما نقدرش على خاطر غدوة لافينال.,joke
فيه وحدة ارسلتها امها للسوبر ماركت ولما رجعت قالت لها امها ليش تأخرتي؟؟ قالت كان فيه واحد يعاكسني قالت الام كان اسرعتي قالت البنت وش اسوي هو اللي كان يمشي شوي شوي,joke
في انتحار وفي انت بارد,not_joke
شخص راح للطبيب باش يخلعلوا مسمار دخل جوا رجله سأله بكام رد الطبيب ب 3000 دينار رد المريض عليه وقاله: عوجو وخليه.,joke
واحد كايقولوا ليه الحاج شلاظة .كعا من السمية.. مشا هاجر شي 30 عام باش انساو رجع هوا يشوفوا واحد صاحبو قديييم قال ليه واش نتا هوا الحاج بصلة اولا مطيشة الحاج قال ليه تخلطها نخلط مك.,joke
واحد سعودي سال بنت مصرية وش اسمك؟ قالت: هنادي أحمد، قال: ناديه مو خايف منه.,joke
ما أشهر نكتة في العالم؟      وحده كاتبه لن اتزوج إلا من ولد بلادي على أساس جاوها العروض من أوروبا.,not_joke
اعده ارجف من البرد وما قمت اقصر على المكيف لأن الريموت بعيد عني.,joke
عجوز أول مرة تركب طيّارة، حلفت على بناتها يساعدن المضيفات.,joke
قالك هادا واحد الراجل طويل ديما مراتو كتقوله النخلة فين غدي النخلة مالك النخلة  واحد النهار جرا عليه المدير ديالو جا لدار معصب قالت له مرتو مالك النخلة وهو يضربها في الفم هرس ليها السنان وقالها وهزي دابا لمك التمر.,joke
كان في واحد في النهار هذا الشخص يفضل يشرب بزاف والشراب كل ما يدخل البيت يمشي عند المرايا يبقى يشوف فيها نفسه ويقول يااااااه كبرت وناضلي الشيب وجه لعنده أبوه وقاله يا واد قتلك ذاك العام ما توقفش عند التصويره تاع جدك وتبقى تهدر معاه.,joke
واحد راح يشري كبش العيد سقسى إلي يبيع قاله: عندك كبش تاع تلت ملايين؟ قاله: تاكله هنا ولا تديه في ساشي.,joke
مرة واحد بخيل بزاف تحرقت دارو.واش يدير ارفد البورطابل نتاعو بيبا للحماية المدنية ومبعدة قعد يسستنى يعاودولوا هوما .,joke
واحد شمايتي حكمين عليه بالإعدام نهار التنفيذ جابو معاه واحد آخر باش ينفذوا عليه حكم الإعدام هوّ لاخر سألوهم قالو للأوّل: أش تحب قبل التنفيذ؟ قالهم: نحب نشوف أمي، قالوا للشمايتي: و أنت؟ قالهم: ما تجيبولوش أمّو.,joke
واحد متزوج و عندو مادامتو كلما تعيط مدامتو في هاتف النقال نتعوا تقوم مرتو ترفد الهاتف و ديدو في لاشارج علاه . اتصل واحد على زوجته وقال لها “انا ربحت مليون دولار جهزي شنطتك بسرعة” فقالت الزوجة:” طيب احمل معاي ثياب صيف أو شتاء؟” فرد عليها : “شيلي كل اللي تبين المهم ما ابي تصيرين بالبيت اذا رجعت” .,not_joke
فيه سكران طاح بحفره وكلما جاء يطلع طاح وكل مره يحاول يطلع يطيح قال والله ان ماطلعت هالمره ابروح لبيتنا.,joke
في واحد لما يرقد يخط الفلوس تحت راسه علاش باش يعملوا راس مال.,not_joke
في واحد عنده دجاج ما ايدحيش بكل  جاهم يوم متكنطي قال غدوة الي ما نلقهاش امدحية على اقل خمسة دحيات بندبحها  اليوم التاني جي شاف الاولى القي تحتها ستة شاف الثانية الي تحتها سبعة شاف الثالثة الي تحتها وحدة  كيف جاب الموس بي ايجر عليها ابدت اتصيح اتقوله اني سردوووووك سردووووك ديــك مش دجاجة.,joke
شخص عجول خد وحدة عجولة مثله جابوا ولد مش فاضيلهم.,joke
نصوم 15 ساعة ونشبع بـ5 دقائق الحكاية فيها فوتشوب.,not_joke
قالك واحد كل يوم يريح في القهوة ، و كل يوم تجوز عليه وحدة يشوف معاها وتشوف معاه ، بقاو على هذي  .,not_joke
مرة اثنين ركبوا سيارة واحد ساق والثاني ذراع.,not_joke
فمة واحد حب يبني مستقبلوا مالقاش سيمان.,not_joke
تعالوا اسحبوها من البيت 😂😂💔  ‏فيه وحدة قالت لزوجها : شفت اللي يرقص هناك..😊 قال : ايه 🙂 قالت : هذا تقدم لي قبل 5 سنوات ورفضته,not_joke
فمة واحد طالع في كميون مع عجلياخي طاح العجل قالوا للراجل وينو العجلقلهم العجل ماهو طاح قالوا شبيك ما قلتش قالهم كان طحت آنا باش يقوللكم العجل .,joke
"أيا قالك واحد قتل مرتو , داوه للمحكمة , أيا صقصاه القاضي وعلاش قتلتها , قالو راها تخون فيا مع صاحبها , قالو القاضي كيفاش عرفت ؟ قالو شوف بطاقة التعريف مكتوب فيها ” إمضاء صاحبها.",joke
دبانة طاحت فكاس ديال الشراب. خرجات منه كتقول: حييييدوا من طريق النسر.,joke
قالك واحد جزائري لقى وحدة مصرية قالها واش مدايرا في حياتك قالتلوا :انا بقرا في الكلية (باللهجة المصرية) قالها :انا ثور في السوناطراك.,joke
واحد مسطول راح يخطب واحده ابوها بيقول له أنا بنتى لازم تعيش في نفس المستوى اللي هى عايشة فيه، رد عليه وقال له ما انا جبت شنطة هدومي وجاي اعيش معاكم في نفس المستوي اهو.,not_joke
واحد خوه مات ويبي يقول لمرت خوه من غير مايصدمها قاللها : راجلك تزوج عليك قالتله : ان شاء الله يخش عليا #مكفن???? قال : جيبوه ياشباب الامور طيبة .,joke
واحد سكران طينة امعكس في الشارع في الليل القي سوادني شاد شكاير   كناسة قاله ربي ايصون,joke
واحد فلاح .. ركب مع تاكسي، ركب مراته قدام علشان السواق ميبصلحاش بالمراية,joke
بقا هكاك دازت 5 سنوات و هو يساليها مشا فرحان لقهوة تيقول لهم “ساليت 5 لتر ديال زيت ف 5 سنين”.,not_joke
هادو 2 دراري تعطلو على المدرسة، وقال ليهم المعلم: علاش تعطلتو؟ قال ليه واحد راه طاحت ليا 10 دراهم، وهو يقول ل تاني: ونتا مالك قال ليه: راه كنت داير رجلي عليها.,joke
ليوم دخلت للفارماسي ..الفارماسيان حكالي نكتهما عرفتش نضحك قبل الاكل ولا بعد الاكل.,not_joke
واحد مشي لي الدكتور يشكي ليهو، قال ليهو: والله ي دكتور جسمي مكسر و فتران جنس فتر، الدكتور قال ليهو: والله ما بتلحقني.,joke
مره واحد بلع سكينه..  أنجرحت مشاعره,joke
واحد الشفار دخل لواحد الدار هي تشدو مولات الدار غلييييييظة و هي تجلس عليه و هي تعيط على ولدها مصطفى عيط دابا لبوليس و هو يقول ليه داك الشفار سربي دغية أخاي مصطفى .,joke
راحت وحده لشيخ وقالت له: ضاع ابني يا شيخ ادعيلي أنه يرجع، قال لها: إذا كان بالحلال بيرجع، وإذا بالحرام ما راح يرجع، قالت: ولي ولي راح ابني.,joke
الوضع يخوف نطرش لجارنا لقيمات ويطرشون لنا من لقيماتهم ونطرش لجارنا الثاني لقيمات جارنا الأول ويرجع لنا بلقيماتنا غسيل لقيمات.,joke
قالك واحد مهبول دايمن حاكم الحيط و حاط وذنو عليه ويسمع كي شافو الطبيب قالو”واش راك تسمع” قالو المهبول “اسمع بوذنك” كي حط الطبيب وذنو على الحيط قالو “ماراني نسمع والو”ايا قالو المهبول “هادي اللي راها مهبلتني .,joke
المراحل التي بيتم فيها دلع البنت، 10سنين تبقي قطقوطة، 18 سنة تبقى مزة، 30سنة تبقي مدام، 40سنة تبقي وليه، 55 سنة تبقي حجة، 80سنة تبقي عايشة بالعافية.,not_joke
في واحد دخل البقاله قال عندكم ايس كريم أبو ريالين فقال البقال اي قال بكم,joke
محشش اتصل بالخطوط قال: كم مدة رحلة الرياض بانكوك؟ قالوا له: لحظة، قال: شكرًا.,joke
شاب جزائري ينهض من فراشه ويغني: انا راااايح فين.. انا راااجع تاني. ويعود الى فراشه في اللحظة عينها.,not_joke
"قالك مرة فى زوز مساطيل شبحو ارنب , الاول قاله الارنب هدا ذكر والا ا نتايا .. رد عليه التاني كان جرى ذكر وكان جرت ا نتايا",joke
مره واحد اصلع عرس بوحده صلعة جابو ولد سموه شعراوي استاذة رياضيات عرست بواحد هامل و منحرف جابو واحد سموه شبه منحرف .,joke
شخص فتح الفيس بوك رأى صاحبه وهوا أونلاين أرسله: ردت نسقسيك لديكم التريسيتي رد الأول: لا راني فاتح من ضو الشمعة.,joke
فيه نملة تمشي تناقز ليش لأنها مشيت حافية في الشمس.,joke
"هدا واحد خينا رجل اليمنية قصيرة على ليسرية, بدا تابع واحد البنت شاد معاها ستون فالطريق، وتتمشى بالرجل اليمنية طروطوار و ليسرية لتحت باش ما يفرش معا بنادمة، ملي سالا طروطوار ما لقا ما يدير ملي بدا تعواج هو يقول ليها خوك راه ما كاين هي الهيب هوب.",joke
مسطول وقف تاكسى .. و قال للسواق: ” يا إبن العم .. تودينى وين .. و أدفع ليك كم ؟ بتاع التاكسى طلع مسطول فقال ليه : ” أنزل هنا و أدفع اللي بتدفعه!” واحد جني تلبس سودانية فراحت على شيخ...,not_joke
المثل الصيني : لا تعطيني سمكة ولكن علمني كيف اصطادالنسخة المصرية المترجمة لنفس المثل بالظبط..... ......لا تعطيني سمكة .. ولكن خليهم 2 كيلو عشان العيال وامهم و ماتنساش علبتين رز بقىو العيش والطحينة .. واتوصى و حياة والدك,not_joke
مرة واحد خليلي انقطعت حفايته راح خيطها عند الكندرجي بعد اسبوع شافها كويسة فك القطب...,joke
واحد ديما كيهز شي حاجة من دارهم واحد النهار شفر بورطابل ديال خوه تاصلو بيه من الدار قالو ليه رد البورطابل وقال ليهم نتوما اي حاجة تمشي لصقوها فيا .,joke
هادو تلاتة سقرامة مشاو لابسين ملي بغاو يدخلو حبسهم لحارس قاليهم خاسكم تخلصو باش دخلو .احيت هما سقرامة دار قرعة جات فواحد اهو يخلص عليهم.دوز نهار مبرعين وصلات 12hجاهم جوع حتى واحد مابغا يخلص.تافقو كاملين يغطسو في لابسين دقة وحدة ولي طلع هو الاول يخلص لغدا.غاطسو كاملين ولاكين حتى واحد ماطلع راسو ماتوو كاملين,joke
"واحد دخل للقهوة وقال للنادل: عندك قهوة باردة؟ يقولو: لا , زاد جاه غدا وقالو كيما المرة اللولة ورد عليه : لا, وعاد كل يوم يقولو: عندك قهوة باردة؟ واحد النهار قال النادل: والله تا نوجّدلو قهوة باردة قبل ما يجي, ومن بعد ساعة جا الزبون وقال: عندك قهوة باردة؟ قالو: نعم, قال: سخّنها وجيبها لي.",joke
واحد راح يخطب هو و الاهل تاعه كي شاف العروسة ما عجباتوش قال للاهل تاعها: ما عنديش الصداق و ما عنديش حق الدهب و عندي عامين ما خدمتش و ما عنديش دار و الفقر حاكمني من كل جهة، قالو باباها: يا وليدي نور مال حنا يهمنا الهنا و السترة و إن شاء الله من بعد العرس تتحسن حوالك، المهم نقراوا الفاتحة. قالو: ما رانيش حافظها.,joke
ختيارة طلعلها ثالولة بخشمها، وتقل للناس حب شباب.,not_joke
حمصي سألوه شو أصعب شي بالدنيا قال إنك تحلق دقنك وانت عم تاكل علكة.,not_joke
حكمه تونسيه : مشيانك حافي ولا تكركيرك في الشلايك الترجمة : حافي : يعني بدون حذاء والباقي واضح,not_joke
هدا واحد ناشط مشى عند البقال أو قال ليه عندك قنبولة 180 ريال بغيت نضحك مع مالين الدارجاوبو مول الحانوتزيد درهم أو شري بوطة صغيرة هجرو ليهم,joke
مره واحد ياكل فستق قالت له زوجته عطني، عطاها حبه وحده قالت له حبه بس. قال كلها نفس الطعم.,joke
17- سوداني انشل جو اصدقاءه يباركون له يقولهم اخاف من الفرحه امشي ثاني,joke
معكاز شرا ليه باه محل ديال دجاج باش يجمع راسو جات عندو واحدة قالت ليه ارا ليا شيء دجاجة فيها 2 كيلو، الدري مكسل، شاف فدجاج و قاليهم يالاه للي فيها 2 كيلو تنوض.,joke
واحدة متشاكلة مع راجلا، قالت ليه: يعنى حاتسوى لي شنو حات طلقني طلقني أصلا “الطلقة ما بتكتل … بِكتُل سكات الزول.,joke
عجوز في محو الأمية. سألتها المدرسة: أعطينا جملة فيها إدغام بغنة ؟ قالت: عمن يعميك .,joke
دائماً على هالحال .. في يوم غلط الولد وجاب خمسه ريال .. فرح بياع الشاورما .. فسواله اثنين بسرعة ورماله الريال الباقي في الشارع .. طالع فيه الشيطان الصغير .. وطلع ريال من جيبه ورماه في الجهة الثانية وقال له :لو سمحت جيب واحد ثالث .,not_joke
هادا واحد الراجل كاري وكان السقف ديال الخشب بالي وكيدير الصداع بزاف ملي جا مول الدار يتخلص الكرا قال ليه الكاري خويا صاوب لينا هادا السقف راه كيخلعنا قال ليه مول الدار ما تخافش راه غير كيسبح الله قال ليه الكاري راني خفت يجيه الخشوع ويسجد.,joke
واحد كان زاطل وروشارشي من لابوليس قارات حداه الطونوبيل تاع لابوليس قالولو اركب قالهم مرسي راني نسكن غير هنا برك .,joke
مره كان في واحد حمصي مسافر بالقطار وقعد جنبو واحدفقال اللي جنب الحمصي  انا بردان من الشباك فقاللو الحمصي  تشرفنا وانا حمدان من حمص.,not_joke
واحد شاف حمار يجري في الطريق، قاله: شو فيك ليش بتجري؟ قالهم: حوطي يذبح الدجاج، قالوا: وأنتَ ايش دخلك أنتَ حمار مو دجاج؟ قالهم: قولوا للحوطي هالكلام.,not_joke
هدا واحد الراجل مراتو ديما كتقتلو بالعصا، واحد النهار غادييجي عند صاحبو مشى عندها طلبها ما ضربوش قدامو، مني جا صاحبوبغا يبان قدامو بدا كيغوت عليهاإوا جات لالة لعيالات. عطاتو واحد طرحة ديال لعصا خلاتو كيتنخصصشافّيه صاحبو قاليه: سعداتكأنت بعدا كتخليك تبكي اما أنا كتقولّي: سكت وقطع الحس,joke
7. مره طالب ادبي نزل القهوة.. قال للقهوجي عايز جيجا تفاح.,not_joke
معلمة رافدة ورقة بو دوسون 200 سقست تلميذ قاتلو : كي يسموها هادي بالعربية قالها ميتين قاتلو ايا ديرهالي في جملة مفيدة تشو؟ قالها : البارح أنا و بُوي كنا ميتين بالضحك البارح.,not_joke
الطلاب في زمن الجاهليةاستلم طالب النتيجة وكان راسبافتفاجئ والده وقال له انت فاشلفحزن الولد ورد عليه : فاشل ونعودفضحك الاب كثيرا وطرد الابن من البيت,joke
فما مجموعة هنود قالو علاش الصعايدة اغبى منا لازم احنا نوليو اغبى منهم جابو فلوكة قارب و بداو يجذفو فالصحراء الا هوما هكاكة و يشوفو في الصعايدة جاييييييييييييييييين سباحة حرة.,joke
مزطول عيط لشركة اتصالات….. قالهم: إنتو ما تسجلوا الاتصالات؟ قالوله: نعم نسجلوها، قالهم: كنت خارج قبيلا وعيط لي الوالد تاعي وقالي: جيب معاك البيض والخبز واش قالي تاني جيب معاك؟…..خخخخخخ راك فاهم.,joke
قا ليك هدا واحد المعلم فالجزائر ديال الإنجليزية داير ليهم سيمپل پاسثبدا كيدور على التلاميد دياولو واحد واحدوقف على الاول قاليه سپيڭجاوبوا سپيك سپوك سپوكن و صل عند واحد الكسول.,not_joke
دكتور بيطري تزوج دكتورة بيطرية زفوهم كلاب الشوارع.,joke
سكران يسأل زهراني صحيح ماجد عبدالله هو أخو صالح النعيمة قاله لا فقط تشابه أسماء .,joke
واحد العجوزة راحت تخطب لوليدها قاتلها :ام العروسة ياك وليدك ما يدخنش؟ قاتلها: لالا يابنتي مايدخنش غير كي يكون سكران برك..,joke
محشش حبيبته زعلت منه حب يراضيها.. راح جابلها حبيبها القديم وقالها مفااااااجأة .,joke
قال محشش لو وجدت الذباب يطير حول رأسك أعرف أن تفكيرك زبالة.,joke
مرة واحد يقلق مية في الساعة دا قماش عند الخياط وقالوا اسمع حاب ندير قندورة تكون مليحة يعني يكون الكول مصاوب وصغير والدرعين مايكونو طوال مايكونو قصار ومن تحت توصل حتى للكعب وعندك اديرلي جيب مانسحقش ولكتاف مايكونوش عراض بزاف وصاوبها تحت الطوابق وأهم حاجة عندك اديرها محصورة انا ما نلبسش حاجة محصورة ولوكان درتها محصورة والله مانسلككهات لقماش هنا مانزيدش نجي عندك خلاص.,joke
نملة منبطحة على بطنها ليش؟ تحل الواجب.,joke
التجول مع الحبيب تحت زخات المطر متعة لا يعرفها الآخرون .. ملاحظة أنا من الآخرون,not_joke
صعيدي راح للدكتور ، الدكتور قال له امشي كل يوم 5 كيلو. اتصل الصعيدى بعد أربعين يوم بالدكتور وقال له انا دلوقتى داخل على اسكندرية .,not_joke
قال ليك هادا واحد الاستاد رسم للتلاميد ضفدعة وقال ليهوم اش هادي وهو ينوض واحد الكسول للسبورة وهو يقول ليه هادي جرانة قال ليه الحمار هادي راه ضفدعة و هو يرجع داك الكسول لبلاصتو وقال لصاحبو العجب. كاتبان من البعد بحال شي جرانة .,joke
مسطول شغال بتاع مرور قبض واحد بفحط قطعه إيصال بتلاتين ألف قام أداه خمسين ألف المسطول قالي ما معاي فكة، قاله فحط بالعشرين الباقية وتعال.,joke
قال ليك واحد مسطول زار ناس كدة وقاعد يسأل في بنتهم الصغيرة اسمك منو يا شاطرة قالت ليهو: أسماء قال ليها يعنى ما في اسم محدد.,joke
اتنين مساطيل قاعدين فى الاستاد واحد سأل التانى: تلف الاستاد ده فى قد ايه؟قال له فى سيجارتين,not_joke
اوربا سمحوا للمغاربة بالهجرة بدون فيزا. المغاربة كلهم يستعدوا للهجرة. الملك  هو يخطب عليهم وقال: آخر شخص يخرج من المغرب يطفي معاه الضوء,joke
واحد محشش اشتري هاتف جديد قام قال لأخوه اكتبلي رسالة لصديقي لأن خطك أحسن من خطى.,joke
معكاز شرا ليه باه محل ديال دجاج باش يجمع راسو جات عندو واحدة قالت ليه ارا ليا شي دجاجة فيها 2 كيلو الدري مكسل.. شاف فدجاج وقاليهم يالاه للي فيها 2 كيلو تنوض.,joke
محشش وهندي طاحوا من الطيارة، المحشش مات والهندي ما مات، سألوا الهندي كيف مات المحشش؟ قال: “ياخي هذا نفر همار أنا يقول أفتح مظلة هو يقول: مافي مطر”.,joke
وحدة قبل ما تسافر قالت لراجلها اتولهالي بالقطوسة متاعي كلمتو بعد ما سافرت باش تسألو شنحوالها قالها ماتت اليوم ولات تبكي و قاتلو حرام عليك علاش هكا تصدمني ماو قلي اليوم راهي تلعب فوق السطح و غدوا قلي طاحت و تجرحت و بعد غدوا غدوا قلي راهي ماتت ربي يسامحك المهم شنحوال امي قالها تلعب فوق السطح.,joke
هذا واحد شدوه البوليس قالوليه: اعطينا لاكارت قال ليهم: وشا ديال اتصالات ولا ميديتيل قالوليه: كتفلى علينا شدوه عطاوه واحد سلخة واعرة، ضربوه قالوليه: كيف جاتك التعبئة قال ليهم: مزيانة الحمد لله مانكانتش التعبئة مضاعفة,joke
واحد سباك راح للدكتور (يكشف):الدكتور ال مراته الحوض مكسور ال له مش المهم الحنفيه شغاله.,joke
واحد صعيدي راح الحج فلقوه قاعد في أوضة الستات ولما سألوه قاعد ليه هنا فرد عليهم قال أصل أنا بحج عن أمي مش ليا.,not_joke
هندي أرسل رسالة فاضيه لاهله في الهند ليه؟ زعلان ما يكلمهم ها ها,joke
مرة واحد حلف يروح لفرنسا من الجزائر يعوم عام تلات أيام وبقاتلو مسيرة يوم تعب رجع.,not_joke
كل يوم ست تصحى جوزها، وتقوله اصحى في صوت في البيت أنا خايفة ليكون في حرامي.. فقالها الحرامي لما بيدخل البيت مش بيعمل صوت، وتاني يوم صحته وقالتله اصحى دا مفيش صوت أكيد في حرامي في البيت.,joke
هادا واحد المكلخ ساقط أربع سنين فالتحضيري،جا عندو المدير، قال ليه: واش نتا غادي تبقى غي لاصق ليا ف هاد المدرسة؟ناض الدري كعا، هز شكارتو و خرج. قال ليهم: لهلا يداوي بوكم،كان معول يولي طبيب.,joke
قالك مرة فى ثلاتة أغبياء يلعبو فى السريع اللى تضربه سيارة مرتين يطلع,joke
